"","ID","Sex","Race","Age","Range","X","trial_num","image_ID_targets","image_ID_pairs","response_pairs","target_global","target_local","target_number","target_spacing","target_confound","pair_left_global","pair_left_local","pair_left_number","pair_right_global","pair_right_local","pair_right_number","choice","choice_number","global","local","GminusL","LG_group"
"38","blg009","F","White",6,"5",15,15,"1_R.png","1_R.png","m","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"local",0,3,19,-16,"local"
"39","blg009","F","White",6,"5",16,16,"2_R.png","2_R.png","m","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"local",0,3,19,-16,"local"
"40","blg009","F","White",6,"5",17,17,"5.png","1.png","z","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,3,19,-16,"local"
"41","blg009","F","White",6,"5",19,19,"3_R.png","1_R.png","m","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"global",1,3,19,-16,"local"
"42","blg009","F","White",6,"5",20,20,"7.png","1.png","m","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,3,19,-16,"local"
"43","blg009","F","White",6,"5",21,21,"3.png","1.png","m","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"local",0,3,19,-16,"local"
"44","blg009","F","White",6,"5",22,22,"8_R.png","2_R.png","m","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"global",1,3,19,-16,"local"
"45","blg009","F","White",6,"5",23,23,"6_R.png","2_R.png","m","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"local",0,3,19,-16,"local"
"46","blg009","F","White",6,"5",24,24,"10.png","4.png","m","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"global",1,3,19,-16,"local"
"47","blg011","M","Latinx/Hispanic",5,"5",1,1,"5_R.png","1_R.png","m","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"local",0,0,24,-24,"local"
"48","blg011","M","Latinx/Hispanic",5,"5",2,2,"9.png","3.png","m","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"local",0,0,24,-24,"local"
"49","blg011","M","Latinx/Hispanic",5,"5",3,3,"3.png","1.png","m","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"local",0,0,24,-24,"local"
"50","blg011","M","Latinx/Hispanic",5,"5",4,4,"7.png","1.png","m","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,0,24,-24,"local"
"51","blg011","M","Latinx/Hispanic",5,"5",5,5,"2.png","2.png","z","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"local",0,0,24,-24,"local"
"52","blg011","M","Latinx/Hispanic",5,"5",6,6,"10.png","4.png","z","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"local",0,0,24,-24,"local"
"53","blg011","M","Latinx/Hispanic",5,"5",7,7,"8_R.png","2_R.png","z","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"local",0,0,24,-24,"local"
"54","blg011","M","Latinx/Hispanic",5,"5",8,8,"6_R.png","2_R.png","m","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"local",0,0,24,-24,"local"
"55","blg011","M","Latinx/Hispanic",5,"5",9,9,"12_R.png","4_R.png","z","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"local",0,0,24,-24,"local"
"56","blg011","M","Latinx/Hispanic",5,"5",10,10,"10_R.png","4_R.png","m","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"local",0,0,24,-24,"local"
"57","blg011","M","Latinx/Hispanic",5,"5",11,11,"11_R.png","3_R.png","m","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"local",0,0,24,-24,"local"
"58","blg011","M","Latinx/Hispanic",5,"5",12,12,"8.png","2.png","m","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"local",0,0,24,-24,"local"
"59","blg011","M","Latinx/Hispanic",5,"5",13,13,"7_R.png","1_R.png","z","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"local",0,0,24,-24,"local"
"60","blg011","M","Latinx/Hispanic",5,"5",14,14,"4.png","2.png","m","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"local",0,0,24,-24,"local"
"61","blg011","M","Latinx/Hispanic",5,"5",15,15,"12.png","4.png","m","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"local",0,0,24,-24,"local"
"62","blg011","M","Latinx/Hispanic",5,"5",16,16,"1_R.png","1_R.png","m","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"local",0,0,24,-24,"local"
"63","blg011","M","Latinx/Hispanic",5,"5",17,17,"2_R.png","2_R.png","m","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"local",0,0,24,-24,"local"
"64","blg011","M","Latinx/Hispanic",5,"5",18,18,"9_R.png","3_R.png","z","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"local",0,0,24,-24,"local"
"65","blg011","M","Latinx/Hispanic",5,"5",19,19,"4_R.png","2_R.png","z","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"local",0,0,24,-24,"local"
"66","blg011","M","Latinx/Hispanic",5,"5",20,20,"5.png","1.png","z","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,0,24,-24,"local"
"67","blg011","M","Latinx/Hispanic",5,"5",21,21,"1.png","1.png","z","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"local",0,0,24,-24,"local"
"68","blg011","M","Latinx/Hispanic",5,"5",22,22,"6.png","2.png","z","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"local",0,0,24,-24,"local"
"69","blg011","M","Latinx/Hispanic",5,"5",23,23,"11.png","3.png","z","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"local",0,0,24,-24,"local"
"70","blg011","M","Latinx/Hispanic",5,"5",24,24,"3_R.png","1_R.png","z","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"local",0,0,24,-24,"local"
"71","blg013","M","White",5,"5",1,1,"2_R.png","2_R.png","z","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"global",1,19,5,14,"global"
"72","blg013","M","White",5,"5",2,2,"4_R.png","2_R.png","z","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"local",0,19,5,14,"global"
"73","blg013","M","White",5,"5",3,3,"10_R.png","4_R.png","z","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"global",1,19,5,14,"global"
"74","blg013","M","White",5,"5",4,4,"8.png","2.png","z","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"global",1,19,5,14,"global"
"75","blg013","M","White",5,"5",5,5,"2.png","2.png","m","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"global",1,19,5,14,"global"
"76","blg013","M","White",5,"5",6,6,"5_R.png","1_R.png","z","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"global",1,19,5,14,"global"
"77","blg013","M","White",5,"5",7,7,"7_R.png","1_R.png","z","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"local",0,19,5,14,"global"
"78","blg013","M","White",5,"5",8,8,"6.png","2.png","m","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"global",1,19,5,14,"global"
"79","blg013","M","White",5,"5",9,9,"11_R.png","3_R.png","z","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"global",1,19,5,14,"global"
"80","blg013","M","White",5,"5",10,10,"3.png","1.png","z","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"global",1,19,5,14,"global"
"81","blg013","M","White",5,"5",11,11,"3_R.png","1_R.png","m","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"global",1,19,5,14,"global"
"82","blg013","M","White",5,"5",12,12,"9.png","3.png","z","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"global",1,19,5,14,"global"
"83","blg013","M","White",5,"5",13,13,"4.png","2.png","z","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"global",1,19,5,14,"global"
"84","blg013","M","White",5,"5",14,14,"12.png","4.png","z","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"global",1,19,5,14,"global"
"85","blg013","M","White",5,"5",15,15,"9_R.png","3_R.png","z","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"local",0,19,5,14,"global"
