"","ID","Age","Range","Race","Sex","X","trial_type","stimulus","response","left_image","right_image","correct_response","correct","sound","shape_choice"
"31","blg007",8,"6 to 8","White","M",31,"bouba-kiki","sound/baba_rep.wav","m","[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]","z",0,"round",0
"32","blg007",8,"6 to 8","White","M",32,"bouba-kiki","sound/gaga_rep.wav","z","[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]","z",1,"round",1
"33","blg008",8,"6 to 8","White","F",1,"bouba-kiki","sound/baba_rep.wav","z","[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","z",1,"round",1
"34","blg008",8,"6 to 8","White","F",2,"bouba-kiki","sound/teetee.wav","m","[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","z",0,"spiky",1
"35","blg008",8,"6 to 8","White","F",3,"bouba-kiki","sound/teetee.wav","z","[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]","m",0,"spiky",1
"36","blg008",8,"6 to 8","White","F",4,"bouba-kiki","sound/gaga_rep.wav","m","[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","m",1,"round",1
"37","blg008",8,"6 to 8","White","F",5,"bouba-kiki","sound/gaga_rep.wav","z","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","z",1,"round",1
"38","blg008",8,"6 to 8","White","F",6,"bouba-kiki","sound/keekee.wav","m","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","m",1,"spiky",0
"39","blg008",8,"6 to 8","White","F",7,"bouba-kiki","sound/baba_rep.wav","z","[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","m",0,"round",0
"40","blg008",8,"6 to 8","White","F",8,"bouba-kiki","sound/keekee.wav","m","[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]","z",0,"spiky",1
"41","blg008",8,"6 to 8","White","F",9,"bouba-kiki","sound/gaga_rep.wav","z","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","z",1,"round",1
"42","blg008",8,"6 to 8","White","F",10,"bouba-kiki","sound/teetee.wav","m","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","m",1,"spiky",0
"43","blg008",8,"6 to 8","White","F",11,"bouba-kiki","sound/baba_rep.wav","z","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","z",1,"round",1
"44","blg008",8,"6 to 8","White","F",12,"bouba-kiki","sound/keekee.wav","m","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","z",0,"spiky",1
"45","blg008",8,"6 to 8","White","F",13,"bouba-kiki","sound/teetee.wav","z","[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","z",1,"spiky",0
"46","blg008",8,"6 to 8","White","F",14,"bouba-kiki","sound/keekee.wav","m","[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","m",1,"spiky",0
"47","blg008",8,"6 to 8","White","F",15,"bouba-kiki","sound/gaga_rep.wav","z","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","m",0,"round",0
"48","blg008",8,"6 to 8","White","F",16,"bouba-kiki","sound/baba_rep.wav","m","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","m",1,"round",1
"49","blg008",8,"6 to 8","White","F",17,"bouba-kiki","sound/baba_rep.wav","z","[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","m",0,"round",0
"50","blg008",8,"6 to 8","White","F",18,"bouba-kiki","sound/teetee.wav","m","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","m",1,"spiky",0
"51","blg008",8,"6 to 8","White","F",19,"bouba-kiki","sound/teetee.wav","z","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","z",1,"spiky",0
"52","blg008",8,"6 to 8","White","F",20,"bouba-kiki","sound/gaga_rep.wav","m","[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","z",0,"round",0
"53","blg008",8,"6 to 8","White","F",21,"bouba-kiki","sound/gaga_rep.wav","z","[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]","m",0,"round",0
