"","trial_type","stimulus","response","left_image","right_image","correct_response","correct"
"1","bouba-kiki","PracSounds/6.wav"," ","[""PracImgs/6.png""]","[""PracImgs/5.png""]","z","false"
"2","bouba-kiki","PracSounds/1.wav"," ","[""PracImgs/1.png""]","[""PracImgs/3.png""]","z","false"
"3","bouba-kiki","PracSounds/8.wav"," ","[""PracImgs/4.png""]","[""PracImgs/8.png""]","m","false"
"4","bouba-kiki","PracSounds/7.wav"," ","[""PracImgs/2.png""]","[""PracImgs/7.png""]","m","false"
"5","bouba-kiki","PracSounds/4.wav"," ","[""PracImgs/4.png""]","[""PracImgs/6.png""]","z","false"
"6","bouba-kiki","PracSounds/1.wav"," ","[""PracImgs/2.png""]","[""PracImgs/1.png""]","m","false"
"7","bouba-kiki","PracSounds/3.wav"," ","[""PracImgs/3.png""]","[""PracImgs/7.png""]","z","false"
"8","bouba-kiki","PracSounds/8.wav"," ","[""PracImgs/8.png""]","[""PracImgs/5.png""]","z","false"
"9","bouba-kiki","PracSounds/3.wav"," ","[""PracImgs/3.png""]","[""PracImgs/1.png""]","z","false"
"10","bouba-kiki","PracSounds/7.wav"," ","[""PracImgs/6.png""]","[""PracImgs/7.png""]","m","false"
"11","bouba-kiki","PracSounds/2.wav"," ","[""PracImgs/8.png""]","[""PracImgs/2.png""]","m","false"
"12","bouba-kiki","PracSounds/5.wav"," ","[""PracImgs/5.png""]","[""PracImgs/4.png""]","z","false"
"13","bouba-kiki","PracSounds/2.wav"," ","[""PracImgs/2.png""]","[""PracImgs/7.png""]","z","false"
"14","bouba-kiki","PracSounds/6.wav"," ","[""PracImgs/4.png""]","[""PracImgs/6.png""]","m","false"
"15","bouba-kiki","PracSounds/3.wav","arrowleft","[""PracImgs/3.png""]","[""PracImgs/5.png""]","z","false"
"16","bouba-kiki","PracSounds/8.wav","arrowright","[""PracImgs/1.png""]","[""PracImgs/8.png""]","m","false"
