"","trial_type","stimulus","response","left_image","right_image","correct_response","correct"
"1","bouba-kiki","PracSounds/7.wav","null","[""PracImgs/7.png""]","[""PracImgs/5.png""]","z",""
"2","bouba-kiki","PracSounds/2.wav","null","[""PracImgs/6.png""]","[""PracImgs/2.png""]","m",""
"3","bouba-kiki","PracSounds/3.wav","null","[""PracImgs/1.png""]","[""PracImgs/3.png""]","m",""
"4","bouba-kiki","PracSounds/8.wav","null","[""PracImgs/4.png""]","[""PracImgs/8.png""]","m",""
"5","bouba-kiki","PracSounds/8.wav","null","[""PracImgs/8.png""]","[""PracImgs/7.png""]","z",""
"6","bouba-kiki","PracSounds/2.wav","null","[""PracImgs/6.png""]","[""PracImgs/2.png""]","m",""
"7","bouba-kiki","PracSounds/4.wav","null","[""PracImgs/4.png""]","[""PracImgs/5.png""]","z",""
"8","bouba-kiki","PracSounds/3.wav","null","[""PracImgs/1.png""]","[""PracImgs/3.png""]","m",""
"9","bouba-kiki","PracSounds/5.wav","null","[""PracImgs/5.png""]","[""PracImgs/4.png""]","z",""
"10","bouba-kiki","PracSounds/7.wav","m","[""PracImgs/8.png""]","[""PracImgs/7.png""]","m","true"
"11","bouba-kiki","PracSounds/6.wav","m","[""PracImgs/3.png""]","[""PracImgs/6.png""]","m","true"
"12","bouba-kiki","PracSounds/2.wav","z","[""PracImgs/2.png""]","[""PracImgs/1.png""]","z","true"
"13","bouba-kiki","PracSounds/4.wav","m","[""PracImgs/2.png""]","[""PracImgs/4.png""]","m","true"
