"","trial_type","stimulus","response","left_image","right_image","correct_response","correct"
"1","bouba-kiki","PracSounds/8.wav","m","[""PracImgs/6.png""]","[""PracImgs/8.png""]","m","true"
"2","bouba-kiki","PracSounds/7.wav","null","[""PracImgs/1.png""]","[""PracImgs/7.png""]","m",""
"3","bouba-kiki","PracSounds/2.wav","z","[""PracImgs/2.png""]","[""PracImgs/5.png""]","z","true"
"4","bouba-kiki","PracSounds/4.wav","z","[""PracImgs/4.png""]","[""PracImgs/3.png""]","z","true"
"5","bouba-kiki","PracSounds/8.wav","m","[""PracImgs/2.png""]","[""PracImgs/8.png""]","m","true"
"6","bouba-kiki","PracSounds/4.wav","z","[""PracImgs/4.png""]","[""PracImgs/6.png""]","z","true"
