"contrast" "sound" "odds.ratio" "SE" "df" "null" "z.ratio" "p.value"
"1" "6 to 8 / 9 to 11" "angular" 1.37043536731157 0.31476556756081 Inf 1 1.37201540725706 0.355651153262612
"2" "6 to 8 / Adult" "angular" 2.11427691454525 0.508449083127876 Inf 1 3.1133625538687 0.00525657469929242
"3" "9 to 11 / Adult" "angular" 1.54277754717678 0.378970767979308 Inf 1 1.76510782443974 0.181434633894504
"4" "6 to 8 / 9 to 11" "curved" 0.791773783206514 0.14969116604466 Inf 1 -1.23496259419762 0.432492059782968
"5" "6 to 8 / Adult" "curved" 0.402644295697335 0.0794622169646501 Inf 1 -4.60956456421435 1.20358859377889e-05
"6" "9 to 11 / Adult" "curved" 0.508534513566124 0.102021174556774 Inf 1 -3.37069559554564 0.00216439838824334
