"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"5.png","1.png","z"
"2",2,"5_R.png","1_R.png","m"
"3",3,"3.png","1.png","m"
"4",4,"6.png","2.png","m"
"5",5,"10_R.png","4_R.png","z"
"6",6,"2.png","2.png","m"
"7",7,"6_R.png","2_R.png","z"
"8",8,"9_R.png","3_R.png","m"
"9",9,"10.png","4.png","m"
"10",10,"7.png","1.png","z"
"11",11,"11.png","3.png","m"
"12",12,"4.png","2.png","z"
"13",13,"12_R.png","4_R.png","m"
"14",14,"2_R.png","2_R.png","z"
"15",15,"12.png","4.png","z"
"16",16,"1.png","1.png","m"
"17",17,"8.png","2.png","z"
"18",18,"11_R.png","3_R.png","z"
"19",19,"7_R.png","1_R.png","m"
"20",20,"4_R.png","2_R.png","m"
"21",21,"9.png","3.png","z"
"22",22,"3_R.png","1_R.png","m"
"23",23,"8_R.png","2_R.png","m"
"24",24,"1_R.png","1_R.png","z"
