"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"2_R.png","2_R.png","m"
"2",2,"12.png","4.png","z"
"3",3,"4.png","2.png","z"
"4",4,"4_R.png","2_R.png","m"
"5",5,"3.png","1.png","z"
"6",6,"11_R.png","3_R.png","z"
"7",7,"11.png","3.png","m"
"8",8,"3_R.png","1_R.png","z"
"9",9,"8.png","2.png","m"
"10",10,"12_R.png","4_R.png","m"
"11",11,"6.png","2.png","m"
"12",12,"8_R.png","2_R.png","null"
"13",13,"2.png","2.png","z"
"14",14,"7.png","1.png","z"
"15",15,"7_R.png","1_R.png","z"
"16",16,"5.png","1.png","z"
"17",17,"9.png","3.png","z"
"18",18,"1.png","1.png","z"
"19",19,"10_R.png","4_R.png","m"
"20",20,"6_R.png","2_R.png","m"
"21",21,"10.png","4.png","z"
"22",22,"1_R.png","1_R.png","null"
"23",23,"9_R.png","3_R.png","null"
"24",24,"5_R.png","1_R.png","null"
