"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"7.png","1.png","m"
"2",2,"9_R.png","3_R.png","z"
"3",3,"9.png","3.png","m"
"4",4,"12_R.png","4_R.png","z"
"5",5,"2_R.png","2_R.png","m"
"6",6,"8.png","2.png","m"
"7",7,"8_R.png","2_R.png","z"
"8",8,"10.png","4.png","m"
"9",9,"6_R.png","2_R.png","z"
"10",10,"1_R.png","1_R.png","m"
"11",11,"4.png","2.png","m"
"12",12,"12.png","4.png","z"
"13",13,"5.png","1.png","z"
"14",14,"3_R.png","1_R.png","z"
"15",15,"7_R.png","1_R.png","m"
"16",16,"11.png","3.png","m"
"17",17,"11_R.png","3_R.png","z"
"18",18,"3.png","1.png","z"
"19",19,"5_R.png","1_R.png","z"
"20",20,"2.png","2.png","m"
"21",21,"4_R.png","2_R.png","z"
"22",22,"1.png","1.png","m"
"23",23,"6.png","2.png","m"
"24",24,"10_R.png","4_R.png","z"
