"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"2_R.png","2_R.png","m"
"2",2,"11_R.png","3_R.png","z"
"3",3,"3.png","1.png","z"
"4",4,"9_R.png","3_R.png","m"
"5",5,"3_R.png","1_R.png","m"
"6",6,"8.png","2.png","z"
"7",7,"9.png","3.png","z"
"8",8,"8_R.png","2_R.png","m"
"9",9,"4.png","2.png","z"
"10",10,"5.png","1.png","m"
"11",11,"12.png","4.png","z"
"12",12,"1.png","1.png","z"
"13",13,"5_R.png","1_R.png","z"
"14",14,"6.png","2.png","m"
"15",15,"7_R.png","1_R.png","m"
"16",16,"2.png","2.png","m"
"17",17,"6_R.png","2_R.png","m"
"18",18,"1_R.png","1_R.png","z"
"19",19,"7.png","1.png","z"
"20",20,"11.png","3.png","m"
"21",21,"4_R.png","2_R.png","m"
"22",22,"10_R.png","4_R.png","z"
"23",23,"12_R.png","4_R.png","m"
"24",24,"10.png","4.png","m"
