"","trial_type","stimulus","response","left_image","right_image","correct_response","correct","sound","vowel_type","congruent","voicing","consonant_type"
"1","bouba-kiki","sound/KAKA.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","z",0,"angular","/a/","incongruent","unvoiced","stop"
"2","bouba-kiki","sound/SASA.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/a/","congruent","unvoiced","fricative"
"3","bouba-kiki","sound/sisi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","z",0,"curved","/i/","incongruent","unvoiced","fricative"
"4","bouba-kiki","sound/kiki.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/i/","congruent","unvoiced","stop"
"5","bouba-kiki","sound/ZAZA.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",0,"angular","/a/","incongruent","voiced","fricative"
"6","bouba-kiki","sound/lili.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","z",0,"curved","/i/","incongruent","voiced","sonorant"
"7","bouba-kiki","sound/SASA.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","z",1,"curved","/a/","congruent","unvoiced","fricative"
"8","bouba-kiki","sound/FAFA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","m",1,"curved","/a/","congruent","unvoiced","fricative"
"9","bouba-kiki","sound/kiki.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","m",1,"angular","/i/","congruent","unvoiced","stop"
"10","bouba-kiki","sound/zizi.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",1,"angular","/i/","congruent","voiced","fricative"
"11","bouba-kiki","sound/FAFA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","m",1,"curved","/a/","congruent","unvoiced","fricative"
"12","bouba-kiki","sound/lili.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","z",1,"curved","/i/","incongruent","voiced","sonorant"
"13","bouba-kiki","sound/TATA.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","m",0,"angular","/a/","incongruent","unvoiced","stop"
"14","bouba-kiki","sound/SASA.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",0,"curved","/a/","congruent","unvoiced","fricative"
"15","bouba-kiki","sound/mimi.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/i/","incongruent","voiced","sonorant"
