"","trial_type","stimulus","response","left_image","right_image","correct_response","correct","sound","vowel_type","congruent","voicing","consonant_type"
"1","bouba-kiki","sound/FAFA.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","z",0,"curved","/a/","congruent","unvoiced","fricative"
"2","bouba-kiki","sound/didi.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/i/","incongruent","voiced","stop"
"3","bouba-kiki","sound/ZAZA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","z",0,"angular","/a/","incongruent","voiced","fricative"
"4","bouba-kiki","sound/titi.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","m",1,"angular","/i/","congruent","unvoiced","stop"
"5","bouba-kiki","sound/didi.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/i/","incongruent","voiced","stop"
"6","bouba-kiki","sound/TATA.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","z",1,"angular","/a/","incongruent","unvoiced","stop"
"7","bouba-kiki","sound/sisi.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","z",1,"curved","/i/","incongruent","unvoiced","fricative"
"8","bouba-kiki","sound/titi.wav","z","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","z",1,"angular","/i/","congruent","unvoiced","stop"
"9","bouba-kiki","sound/DADA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","m",1,"curved","/a/","congruent","voiced","stop"
"10","bouba-kiki","sound/titi.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","m",0,"angular","/i/","congruent","unvoiced","stop"
"11","bouba-kiki","sound/kiki.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","m",1,"angular","/i/","congruent","unvoiced","stop"
"12","bouba-kiki","sound/KAKA.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","z",1,"angular","/a/","incongruent","unvoiced","stop"
"13","bouba-kiki","sound/fifi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","z",0,"curved","/i/","incongruent","unvoiced","fricative"
"14","bouba-kiki","sound/ZAZA.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","z",1,"angular","/a/","incongruent","voiced","fricative"
"15","bouba-kiki","sound/DADA.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","z",1,"curved","/a/","congruent","voiced","stop"
"16","bouba-kiki","sound/fifi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","z",0,"curved","/i/","incongruent","unvoiced","fricative"
"17","bouba-kiki","sound/TATA.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",1,"angular","/a/","incongruent","unvoiced","stop"
"18","bouba-kiki","sound/kiki.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","z",1,"angular","/i/","congruent","unvoiced","stop"
"19","bouba-kiki","sound/ZAZA.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","m",0,"angular","/a/","incongruent","voiced","fricative"
"20","bouba-kiki","sound/KAKA.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","m",1,"angular","/a/","incongruent","unvoiced","stop"
"21","bouba-kiki","sound/lili.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/i/","incongruent","voiced","sonorant"
"22","bouba-kiki","sound/ZAZA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","z",0,"angular","/a/","incongruent","voiced","fricative"
"23","bouba-kiki","sound/kiki.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","m",0,"angular","/i/","congruent","unvoiced","stop"
"24","bouba-kiki","sound/fifi.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","z",0,"curved","/i/","incongruent","unvoiced","fricative"
"25","bouba-kiki","sound/DADA.wav","z","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","m",0,"curved","/a/","congruent","voiced","stop"
"26","bouba-kiki","sound/zizi.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","m",1,"angular","/i/","congruent","voiced","fricative"
"27","bouba-kiki","sound/TATA.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","z",1,"angular","/a/","incongruent","unvoiced","stop"
"28","bouba-kiki","sound/KAKA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","z",0,"angular","/a/","incongruent","unvoiced","stop"
"29","bouba-kiki","sound/mimi.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",0,"curved","/i/","incongruent","voiced","sonorant"
"30","bouba-kiki","sound/SASA.wav","z","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","m",0,"curved","/a/","congruent","unvoiced","fricative"
"31","bouba-kiki","sound/SASA.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved","/a/","congruent","unvoiced","fricative"
"32","bouba-kiki","sound/fifi.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/i/","incongruent","unvoiced","fricative"
"33","bouba-kiki","sound/mimi.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",0,"curved","/i/","incongruent","voiced","sonorant"
"34","bouba-kiki","sound/MAMA.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","m",1,"curved","/a/","congruent","voiced","sonorant"
"35","bouba-kiki","sound/zizi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/i/","congruent","voiced","fricative"
"36","bouba-kiki","sound/MAMA.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","z",1,"curved","/a/","congruent","voiced","sonorant"
"37","bouba-kiki","sound/mimi.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","m",1,"curved","/i/","incongruent","voiced","sonorant"
"38","bouba-kiki","sound/FAFA.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved","/a/","congruent","unvoiced","fricative"
"39","bouba-kiki","sound/zizi.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","m",1,"angular","/i/","congruent","voiced","fricative"
"40","bouba-kiki","sound/kiki.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",1,"angular","/i/","congruent","unvoiced","stop"
"41","bouba-kiki","sound/MAMA.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","z",1,"curved","/a/","congruent","voiced","sonorant"
"42","bouba-kiki","sound/FAFA.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/a/","congruent","unvoiced","fricative"
"43","bouba-kiki","sound/didi.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","m",1,"curved","/i/","incongruent","voiced","stop"
"44","bouba-kiki","sound/TATA.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","m",1,"angular","/a/","incongruent","unvoiced","stop"
"45","bouba-kiki","sound/lili.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/i/","incongruent","voiced","sonorant"
"46","bouba-kiki","sound/zizi.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","m",1,"angular","/i/","congruent","voiced","fricative"
"47","bouba-kiki","sound/LALA.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","z",1,"curved","/a/","congruent","voiced","sonorant"
"48","bouba-kiki","sound/lili.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",1,"curved","/i/","incongruent","voiced","sonorant"
"49","bouba-kiki","sound/FAFA.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",1,"curved","/a/","congruent","unvoiced","fricative"
"50","bouba-kiki","sound/mimi.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved","/i/","incongruent","voiced","sonorant"
"51","bouba-kiki","sound/MAMA.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","z",1,"curved","/a/","congruent","voiced","sonorant"
"52","bouba-kiki","sound/sisi.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","m",1,"curved","/i/","incongruent","unvoiced","fricative"
"53","bouba-kiki","sound/KAKA.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","z",1,"angular","/a/","incongruent","unvoiced","stop"
"54","bouba-kiki","sound/sisi.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","z",1,"curved","/i/","incongruent","unvoiced","fricative"
"55","bouba-kiki","sound/SASA.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","z",0,"curved","/a/","congruent","unvoiced","fricative"
"56","bouba-kiki","sound/DADA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","m",1,"curved","/a/","congruent","voiced","stop"
"57","bouba-kiki","sound/sisi.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","m",0,"curved","/i/","incongruent","unvoiced","fricative"
"58","bouba-kiki","sound/lili.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved","/i/","incongruent","voiced","sonorant"
"59","bouba-kiki","sound/SASA.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/a/","congruent","unvoiced","fricative"
"60","bouba-kiki","sound/LALA.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",1,"curved","/a/","congruent","voiced","sonorant"
"61","bouba-kiki","sound/didi.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","z",1,"curved","/i/","incongruent","voiced","stop"
"62","bouba-kiki","sound/LALA.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","z",1,"curved","/a/","congruent","voiced","sonorant"
"63","bouba-kiki","sound/LALA.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",1,"curved","/a/","congruent","voiced","sonorant"
"64","bouba-kiki","sound/titi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/i/","congruent","unvoiced","stop"
