"","trial_type","trial_num","number_targets","number_pairs","response_pairs"
"1","image-keyboard-response",1,"5_R.png","1_R.png","m"
"2","image-keyboard-response",2,"1_R.png","1_R.png","m"
"3","image-keyboard-response",3,"10.png","4.png","z"
"4","image-keyboard-response",4,"6_R.png","2_R.png","m"
"5","image-keyboard-response",5,"1.png","1.png","z"
"6","image-keyboard-response",6,"11_R.png","3_R.png","m"
"7","image-keyboard-response",7,"10_R.png","4_R.png","null"
"8","image-keyboard-response",8,"2_R.png","2_R.png","m"
"9","image-keyboard-response",9,"11.png","3.png","z"
"10","image-keyboard-response",10,"7.png","1.png","m"
"11","image-keyboard-response",11,"7_R.png","1_R.png","z"
"12","image-keyboard-response",12,"6.png","2.png","z"
"13","image-keyboard-response",13,"12.png","4.png","m"
"14","image-keyboard-response",14,"9_R.png","3_R.png","z"
"15","image-keyboard-response",15,"8.png","2.png","m"
"16","image-keyboard-response",16,"4_R.png","2_R.png","z"
"17","image-keyboard-response",17,"3_R.png","1_R.png","z"
"18","image-keyboard-response",18,"4.png","2.png","m"
"19","image-keyboard-response",19,"9.png","3.png","m"
"20","image-keyboard-response",20,"8_R.png","2_R.png","z"
"21","image-keyboard-response",21,"12_R.png","4_R.png","z"
"22","image-keyboard-response",22,"3.png","1.png","m"
"23","image-keyboard-response",23,"5.png","1.png","z"
"24","image-keyboard-response",24,"2.png","2.png","z"
