"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"6_R.png","2_R.png","m"
"2",2,"5_R.png","1_R.png","m"
"3",3,"8_R.png","2_R.png","z"
"4",4,"12_R.png","4_R.png","z"
"5",5,"4_R.png","2_R.png","z"
"6",6,"2_R.png","2_R.png","m"
"7",7,"2.png","2.png","z"
"8",8,"11.png","3.png","z"
"9",9,"4.png","2.png","m"
"10",10,"1_R.png","1_R.png","m"
"11",11,"7.png","1.png","m"
"12",12,"10_R.png","4_R.png","m"
"13",13,"3.png","1.png","m"
"14",14,"11_R.png","3_R.png","m"
"15",15,"10.png","4.png","m"
"16",16,"12.png","4.png","m"
"17",17,"3_R.png","1_R.png","z"
"18",18,"6.png","2.png","z"
"19",19,"1.png","1.png","z"
"20",20,"7_R.png","1_R.png","z"
"21",21,"5.png","1.png","z"
"22",22,"9_R.png","3_R.png","z"
"23",23,"8.png","2.png","m"
"24",24,"9.png","3.png","m"
