"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"9.png","3.png","m"
"2",2,"12.png","4.png","z"
"3",3,"8_R.png","2_R.png","m"
"4",4,"6.png","2.png","z"
"5",5,"7_R.png","1_R.png","m"
"6",6,"5.png","1.png","m"
"7",7,"11_R.png","3_R.png","z"
"8",8,"7.png","1.png","z"
"9",9,"5_R.png","1_R.png","z"
"10",10,"4.png","2.png","z"
"11",11,"2_R.png","2_R.png","z"
"12",12,"10_R.png","4_R.png","z"
"13",13,"6_R.png","2_R.png","z"
"14",14,"4_R.png","2_R.png","m"
"15",15,"2.png","2.png","m"
"16",16,"12_R.png","4_R.png","m"
"17",17,"1.png","1.png","z"
"18",18,"3.png","1.png","z"
"19",19,"3_R.png","1_R.png","m"
"20",20,"1_R.png","1_R.png","z"
"21",21,"11.png","3.png","m"
"22",22,"9_R.png","3_R.png","m"
"23",23,"10.png","4.png","m"
"24",24,"8.png","2.png","z"
