"","trial_type","stimulus","response","left_image","right_image","correct_response","correct","sound"
"1","bouba-kiki","sound/LALA.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","z",1,"angular"
"2","bouba-kiki","sound/lili.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","m",0,"angular"
"3","bouba-kiki","sound/titi.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","m",1,"angular"
"4","bouba-kiki","sound/MAMA.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","m",0,"curved"
"5","bouba-kiki","sound/lili.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","m",0,"angular"
"6","bouba-kiki","sound/sisi.wav","z","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","m",0,"curved"
"7","bouba-kiki","sound/FAFA.wav","m","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",1,"curved"
"8","bouba-kiki","sound/titi.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","m",0,"angular"
"9","bouba-kiki","sound/fifi.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","z",1,"curved"
"10","bouba-kiki","sound/DADA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","m",1,"curved"
"11","bouba-kiki","sound/KAKA.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","m",0,"angular"
"12","bouba-kiki","sound/sisi.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",0,"curved"
"13","bouba-kiki","sound/mimi.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved"
"14","bouba-kiki","sound/KAKA.wav","z","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","m",0,"angular"
"15","bouba-kiki","sound/FAFA.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","m",1,"curved"
"16","bouba-kiki","sound/kiki.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","m",0,"angular"
"17","bouba-kiki","sound/DADA.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","z",0,"curved"
"18","bouba-kiki","sound/mimi.wav","m","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",1,"curved"
"19","bouba-kiki","sound/SASA.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved"
"20","bouba-kiki","sound/KAKA.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","z",0,"angular"
"21","bouba-kiki","sound/fifi.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",0,"curved"
"22","bouba-kiki","sound/didi.wav","z","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","z",1,"curved"
"23","bouba-kiki","sound/MAMA.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","m",0,"curved"
"24","bouba-kiki","sound/mimi.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",0,"curved"
"25","bouba-kiki","sound/ZAZA.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","m",0,"angular"
"26","bouba-kiki","sound/kiki.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",1,"angular"
