"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"9_R.png","3_R.png","z"
"2",2,"10.png","4.png","z"
"3",3,"3.png","1.png","m"
"4",4,"8_R.png","2_R.png","z"
"5",5,"4.png","2.png","m"
"6",6,"3_R.png","1_R.png","m"
"7",7,"11.png","3.png","z"
"8",8,"7.png","1.png","m"
"9",9,"1.png","1.png","z"
"10",10,"11_R.png","3_R.png","m"
"11",11,"9.png","3.png","m"
"12",12,"2.png","2.png","z"
"13",13,"10_R.png","4_R.png","z"
"14",14,"4_R.png","2_R.png","z"
"15",15,"5.png","1.png","m"
"16",16,"1_R.png","1_R.png","m"
"17",17,"6_R.png","2_R.png","m"
"18",18,"2_R.png","2_R.png","z"
"19",19,"7_R.png","1_R.png","z"
"20",20,"12_R.png","4_R.png","z"
"21",21,"6.png","2.png","z"
"22",22,"5_R.png","1_R.png","m"
"23",23,"8.png","2.png","m"
"24",24,"12.png","4.png","m"
