"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"1.png","1.png","z"
"2",2,"6_R.png","2_R.png","z"
"3",3,"5_R.png","1_R.png","z"
"4",4,"7_R.png","1_R.png","m"
"5",5,"7.png","1.png","z"
"6",6,"11_R.png","3_R.png","z"
"7",7,"8.png","2.png","z"
"8",8,"11.png","3.png","m"
"9",9,"3.png","1.png","z"
"10",10,"6.png","2.png","m"
"11",11,"10.png","4.png","m"
"12",12,"1_R.png","1_R.png","z"
"13",13,"3_R.png","1_R.png","m"
"14",14,"8_R.png","2_R.png","m"
"15",15,"9.png","3.png","z"
"16",16,"2.png","2.png","m"
"17",17,"4.png","2.png","z"
"18",18,"5.png","1.png","m"
"19",19,"12.png","4.png","z"
"20",20,"9_R.png","3_R.png","m"
"21",21,"10_R.png","4_R.png","z"
"22",22,"4_R.png","2_R.png","m"
"23",23,"12_R.png","4_R.png","m"
"24",24,"2_R.png","2_R.png","z"
