"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"5_R.png","1_R.png","m"
"2",2,"8.png","2.png","m"
"3",3,"1_R.png","1_R.png","m"
"4",4,"12_R.png","4_R.png","z"
"5",5,"7_R.png","1_R.png","z"
"6",6,"3.png","1.png","m"
"7",7,"2_R.png","2_R.png","m"
"8",8,"11_R.png","3_R.png","m"
"9",9,"8_R.png","2_R.png","z"
"10",10,"6.png","2.png","z"
"11",11,"4_R.png","2_R.png","z"
"12",12,"12.png","4.png","m"
"13",13,"7.png","1.png","m"
"14",14,"9.png","3.png","m"
"15",15,"11.png","3.png","z"
"16",16,"2.png","2.png","z"
"17",17,"4.png","2.png","m"
"18",18,"9_R.png","3_R.png","z"
"19",19,"6_R.png","2_R.png","m"
"20",20,"10.png","4.png","z"
"21",21,"5.png","1.png","m"
"22",22,"3_R.png","1_R.png","z"
"23",23,"10_R.png","4_R.png","m"
"24",24,"1.png","1.png","z"
