"","contrast","sound","estimate","SE","df","z.ratio","p.value"
"1","6 to 8 - 9 to 11","round",-0.0311188811188839,0.0194455465575372,Inf,-1.6003088947285,0.245476933065685
"2","6 to 8 - Adult","round",-0.149240890688269,0.0140055326517424,Inf,-10.6558525405103,2.75335310107039e-14
"3","9 to 11 - Adult","round",-0.118122009569386,0.0164013883639745,Inf,-7.20195186822352,1.80244708047894e-12
"4","6 to 8 - 9 to 11","spiky",-0.105856643356655,0.0194455465575313,Inf,-5.44374739190123,1.5631974703556e-07
"5","6 to 8 - Adult","spiky",-0.205836707152511,0.0140055326517419,Inf,-14.6968139142434,0
"6","9 to 11 - Adult","spiky",-0.0999800637958558,0.0164013883639711,Inf,-6.09582930280962,3.26511906401095e-09
