"","contrast","estimate","SE","df","z.ratio","p.value"
"1","fricative - sonorant",0.231123173701295,0.0274952986823692,Inf,8.40591609392112,3.03090885722668e-14
"2","fricative - stop",-0.109141838553603,0.0246134721136241,Inf,-4.43423171057571,2.75065662578289e-05
"3","sonorant - stop",-0.340265012254898,0.0275311607907191,Inf,-12.3592686425922,0
