"","X","trial_num","image_ID_targets","image_ID_pairs","response_pairs","ID","target_global","target_local","target_number","target_spacing","target_confound","pair_left_global","pair_left_local","pair_left_number","pair_right_global","pair_right_local","pair_right_number","Age","Range","choice","choice_number"
"498",4,4,"7.png","1.png","m","blg029","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"10","9 to 11","local",0
"499",5,5,"5.png","1.png","z","blg029","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"10","9 to 11","local",0
"500",6,6,"3_R.png","1_R.png","z","blg029","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"10","9 to 11","local",0
"501",7,7,"11.png","3.png","z","blg029","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"10","9 to 11","local",0
"502",8,8,"2.png","2.png","z","blg029","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"10","9 to 11","local",0
"503",9,9,"3.png","1.png","z","blg029","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"10","9 to 11","global",1
"504",10,10,"4.png","2.png","m","blg029","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"10","9 to 11","local",0
"505",11,11,"8.png","2.png","m","blg029","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"10","9 to 11","local",0
"506",12,12,"9.png","3.png","m","blg029","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"10","9 to 11","local",0
"507",13,13,"1.png","1.png","m","blg029","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"10","9 to 11","global",1
"508",14,14,"5_R.png","1_R.png","m","blg029","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"10","9 to 11","local",0
"509",15,15,"10_R.png","4_R.png","m","blg029","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"10","9 to 11","local",0
"510",16,16,"12_R.png","4_R.png","z","blg029","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"10","9 to 11","local",0
"511",17,17,"10.png","4.png","z","blg029","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"10","9 to 11","local",0
"512",18,18,"11_R.png","3_R.png","m","blg029","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"10","9 to 11","local",0
"513",19,19,"1_R.png","1_R.png","m","blg029","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"10","9 to 11","local",0
"514",20,20,"6_R.png","2_R.png","m","blg029","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"10","9 to 11","local",0
"515",21,21,"4_R.png","2_R.png","z","blg029","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"10","9 to 11","local",0
"516",22,22,"8_R.png","2_R.png","z","blg029","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"10","9 to 11","local",0
"517",23,23,"6.png","2.png","z","blg029","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"10","9 to 11","local",0
"518",24,24,"9_R.png","3_R.png","z","blg029","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"10","9 to 11","local",0
"519",1,1,"10.png","4.png","z","blg030","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"11","9 to 11","local",0
"520",2,2,"5_R.png","1_R.png","z","blg030","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","global",1
"521",3,3,"11.png","3.png","m","blg030","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"11","9 to 11","global",1
"522",4,4,"10_R.png","4_R.png","z","blg030","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"11","9 to 11","global",1
"523",5,5,"5.png","1.png","m","blg030","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","global",1
"524",6,6,"6_R.png","2_R.png","z","blg030","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","global",1
"525",7,7,"6.png","2.png","m","blg030","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","global",1
"526",8,8,"12.png","4.png","z","blg030","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"11","9 to 11","global",1
"527",9,9,"11_R.png","3_R.png","z","blg030","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"11","9 to 11","global",1
"528",10,10,"1.png","1.png","m","blg030","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","global",1
"529",11,11,"8_R.png","2_R.png","m","blg030","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","global",1
"530",12,12,"2.png","2.png","m","blg030","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","global",1
"531",13,13,"9.png","3.png","z","blg030","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"11","9 to 11","global",1
"532",14,14,"1_R.png","1_R.png","z","blg030","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","global",1
"533",15,15,"2_R.png","2_R.png","z","blg030","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","global",1
"534",16,16,"8.png","2.png","z","blg030","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","global",1
"535",17,17,"4.png","2.png","z","blg030","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","global",1
"536",18,18,"12_R.png","4_R.png","m","blg030","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"11","9 to 11","global",1
"537",19,19,"7_R.png","1_R.png","m","blg030","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","global",1
"538",20,20,"3_R.png","1_R.png","m","blg030","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","global",1
"539",21,21,"7.png","1.png","z","blg030","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","global",1
"540",22,22,"3.png","1.png","z","blg030","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","global",1
"541",23,23,"4_R.png","2_R.png","m","blg030","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","global",1
"542",24,24,"9_R.png","3_R.png","m","blg030","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"11","9 to 11","global",1
"543",1,1,"7.png","1.png","m","blg031","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","local",0
"544",2,2,"9.png","3.png","z","blg031","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"8","6 to 8","global",1
"545",3,3,"9_R.png","3_R.png","m","blg031","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"8","6 to 8","global",1
"546",4,4,"12.png","4.png","z","blg031","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"8","6 to 8","global",1
"547",5,5,"1.png","1.png","m","blg031","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","global",1
"548",6,6,"1_R.png","1_R.png","z","blg031","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","global",1
"549",7,7,"11_R.png","3_R.png","z","blg031","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"8","6 to 8","global",1
"550",8,8,"2.png","2.png","m","blg031","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","global",1
"551",9,9,"5_R.png","1_R.png","z","blg031","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","global",1
"552",10,10,"7_R.png","1_R.png","m","blg031","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","global",1
"553",11,11,"10_R.png","4_R.png","z","blg031","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"8","6 to 8","global",1
"554",12,12,"5.png","1.png","m","blg031","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","global",1
"555",13,13,"6.png","2.png","m","blg031","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","global",1
"556",14,14,"11.png","3.png","m","blg031","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"8","6 to 8","global",1
"557",15,15,"4.png","2.png","z","blg031","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","global",1
"558",16,16,"4_R.png","2_R.png","m","blg031","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","global",1
"559",17,17,"8.png","2.png","z","blg031","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","global",1
"560",18,18,"3.png","1.png","z","blg031","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","global",1
"561",19,19,"3_R.png","1_R.png","m","blg031","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","global",1
"562",20,20,"6_R.png","2_R.png","z","blg031","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","global",1
"563",21,21,"10.png","4.png","m","blg031","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"8","6 to 8","global",1
"564",22,22,"12_R.png","4_R.png","m","blg031","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"8","6 to 8","global",1
"565",23,23,"8_R.png","2_R.png","m","blg031","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","global",1
"566",24,24,"2_R.png","2_R.png","z","blg031","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","global",1
"567",1,1,"7_R.png","1_R.png","z","blg032","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"9","9 to 11","local",0
"568",2,2,"10_R.png","4_R.png","m","blg032","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"9","9 to 11","local",0
"569",3,3,"3_R.png","1_R.png","m","blg032","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"9","9 to 11","global",1
"570",4,4,"5_R.png","1_R.png","z","blg032","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"9","9 to 11","global",1
"571",5,5,"11.png","3.png","m","blg032","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"9","9 to 11","global",1
"572",6,6,"5.png","1.png","m","blg032","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"9","9 to 11","global",1
"573",7,7,"3.png","1.png","z","blg032","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"9","9 to 11","global",1
"574",8,8,"2_R.png","2_R.png","z","blg032","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"9","9 to 11","global",1
"575",9,9,"9.png","3.png","z","blg032","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"9","9 to 11","global",1
"576",10,10,"8.png","2.png","z","blg032","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"9","9 to 11","global",1
"577",11,11,"4.png","2.png","z","blg032","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"9","9 to 11","global",1
"578",12,12,"9_R.png","3_R.png","m","blg032","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"9","9 to 11","global",1
"579",13,13,"11_R.png","3_R.png","z","blg032","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"9","9 to 11","global",1
"580",14,14,"6_R.png","2_R.png","z","blg032","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"9","9 to 11","global",1
"581",15,15,"2.png","2.png","m","blg032","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"9","9 to 11","global",1
"582",16,16,"8_R.png","2_R.png","m","blg032","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"9","9 to 11","global",1
"583",17,17,"6.png","2.png","m","blg032","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"9","9 to 11","global",1
"584",18,18,"12_R.png","4_R.png","m","blg032","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"9","9 to 11","global",1
"585",19,19,"10.png","4.png","m","blg032","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"9","9 to 11","global",1
"586",20,20,"1.png","1.png","m","blg032","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"9","9 to 11","global",1
"587",21,21,"12.png","4.png","z","blg032","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"9","9 to 11","global",1
"588",22,22,"4_R.png","2_R.png","m","blg032","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"9","9 to 11","global",1
"589",23,23,"1_R.png","1_R.png","z","blg032","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"9","9 to 11","global",1
"590",24,24,"7.png","1.png","z","blg032","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"9","9 to 11","global",1
"591",1,1,"4_R.png","2_R.png","m","blg033","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","global",1
"592",2,2,"11_R.png","3_R.png","z","blg033","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"11","9 to 11","global",1
"593",3,3,"11.png","3.png","m","blg033","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"11","9 to 11","global",1
"594",4,4,"12_R.png","4_R.png","z","blg033","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"11","9 to 11","local",0
"595",5,5,"8_R.png","2_R.png","m","blg033","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","global",1
"596",6,6,"6.png","2.png","m","blg033","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","global",1
"597",7,7,"1_R.png","1_R.png","m","blg033","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","local",0
"598",8,8,"4.png","2.png","z","blg033","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","global",1
"599",9,9,"9.png","3.png","m","blg033","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"11","9 to 11","local",0
"600",10,10,"7_R.png","1_R.png","z","blg033","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","local",0
"601",11,11,"3.png","1.png","z","blg033","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","global",1
"602",12,12,"5_R.png","1_R.png","m","blg033","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","local",0
"603",13,13,"3_R.png","1_R.png","m","blg033","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","global",1
"604",14,14,"2.png","2.png","z","blg033","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","local",0
"605",15,15,"5.png","1.png","m","blg033","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","global",1
"606",16,16,"7.png","1.png","z","blg033","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","global",1
"607",17,17,"10_R.png","4_R.png","m","blg033","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"11","9 to 11","local",0
"608",18,18,"12.png","4.png","z","blg033","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"11","9 to 11","global",1
"609",19,19,"9_R.png","3_R.png","m","blg033","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"11","9 to 11","global",1
"610",20,20,"2_R.png","2_R.png","z","blg033","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","global",1
"611",21,21,"6_R.png","2_R.png","m","blg033","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","local",0
"612",22,22,"8.png","2.png","z","blg033","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","global",1
"613",23,23,"1.png","1.png","m","blg033","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","global",1
"614",24,24,"10.png","4.png","z","blg033","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"11","9 to 11","local",0
"615",1,1,"5_R.png","1_R.png","m","blg034","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"6","6 to 8","local",0
"616",2,2,"12_R.png","4_R.png","z","blg034","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"6","6 to 8","local",0
"617",3,3,"8_R.png","2_R.png","z","blg034","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"6","6 to 8","local",0
"618",4,4,"12.png","4.png","z","blg034","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"6","6 to 8","global",1
"619",5,5,"7_R.png","1_R.png","z","blg034","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"6","6 to 8","local",0
"620",6,6,"8.png","2.png","m","blg034","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"6","6 to 8","local",0
"621",7,7,"1_R.png","1_R.png","z","blg034","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"6","6 to 8","global",1
"622",8,8,"7.png","1.png","z","blg034","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"6","6 to 8","global",1
"623",9,9,"6.png","2.png","z","blg034","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"6","6 to 8","local",0
"624",10,10,"11_R.png","3_R.png","m","blg034","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"6","6 to 8","local",0
"625",11,11,"4.png","2.png","m","blg034","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"6","6 to 8","local",0
"626",12,12,"6_R.png","2_R.png","m","blg034","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"6","6 to 8","local",0
"627",13,13,"9.png","3.png","m","blg034","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"6","6 to 8","local",0
"628",14,14,"1.png","1.png","z","blg034","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"6","6 to 8","local",0
"629",15,15,"5.png","1.png","z","blg034","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"6","6 to 8","local",0
"630",16,16,"11.png","3.png","m","blg034","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"6","6 to 8","global",1
"631",17,17,"3.png","1.png","m","blg034","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"6","6 to 8","local",0
"632",18,18,"9_R.png","3_R.png","z","blg034","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"6","6 to 8","local",0
"633",19,19,"4_R.png","2_R.png","z","blg034","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"6","6 to 8","local",0
"634",20,20,"2.png","2.png","z","blg034","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"6","6 to 8","local",0
"635",21,21,"3_R.png","1_R.png","z","blg034","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"6","6 to 8","local",0
"636",22,22,"2_R.png","2_R.png","m","blg034","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"6","6 to 8","local",0
"637",23,23,"10.png","4.png","z","blg034","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"6","6 to 8","local",0
"638",24,24,"10_R.png","4_R.png","m","blg034","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"6","6 to 8","local",0
"639",1,1,"4.png","2.png","m","blg035","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"6","6 to 8","local",0
"640",2,2,"7_R.png","1_R.png","z","blg035","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"6","6 to 8","local",0
"641",3,3,"10.png","4.png","z","blg035","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"6","6 to 8","local",0
"642",4,4,"12.png","4.png","m","blg035","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"6","6 to 8","local",0
"643",5,5,"5.png","1.png","m","blg035","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"6","6 to 8","global",1
"644",6,6,"10_R.png","4_R.png","z","blg035","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"6","6 to 8","global",1
"645",7,7,"2.png","2.png","m","blg035","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"6","6 to 8","global",1
"646",8,8,"12_R.png","4_R.png","m","blg035","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"6","6 to 8","global",1
"647",9,9,"6_R.png","2_R.png","z","blg035","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"6","6 to 8","global",1
"648",10,10,"5_R.png","1_R.png","z","blg035","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"6","6 to 8","global",1
"649",11,11,"6.png","2.png","m","blg035","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"6","6 to 8","global",1
"650",12,12,"3.png","1.png","z","blg035","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"6","6 to 8","global",1
"651",13,13,"2_R.png","2_R.png","z","blg035","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"6","6 to 8","global",1
"652",14,14,"9.png","3.png","z","blg035","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"6","6 to 8","global",1
"653",15,15,"8_R.png","2_R.png","m","blg035","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"6","6 to 8","global",1
"654",16,16,"11.png","3.png","m","blg035","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"6","6 to 8","global",1
"655",17,17,"1.png","1.png","m","blg035","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"6","6 to 8","global",1
"656",18,18,"4_R.png","2_R.png","m","blg035","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"6","6 to 8","global",1
"657",19,19,"9_R.png","3_R.png","m","blg035","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"6","6 to 8","global",1
"658",20,20,"1_R.png","1_R.png","z","blg035","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"6","6 to 8","global",1
"659",21,21,"11_R.png","3_R.png","z","blg035","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"6","6 to 8","global",1
"660",22,22,"7.png","1.png","z","blg035","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"6","6 to 8","global",1
"661",23,23,"8.png","2.png","z","blg035","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"6","6 to 8","global",1
"662",24,24,"3_R.png","1_R.png","m","blg035","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"6","6 to 8","global",1
"663",1,1,"7_R.png","1_R.png","z","blg036","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","local",0
"664",2,2,"8_R.png","2_R.png","z","blg036","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","local",0
"665",3,3,"2_R.png","2_R.png","m","blg036","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","local",0
"666",4,4,"10.png","4.png","z","blg036","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"11","9 to 11","local",0
"667",5,5,"8.png","2.png","m","blg036","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","local",0
"668",6,6,"6.png","2.png","z","blg036","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","local",0
"669",7,7,"5_R.png","1_R.png","z","blg036","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","global",1
"670",8,8,"3_R.png","1_R.png","m","blg036","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","global",1
"671",9,9,"3.png","1.png","z","blg036","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","global",1
"672",10,10,"11_R.png","3_R.png","z","blg036","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"11","9 to 11","global",1
"673",11,11,"9_R.png","3_R.png","m","blg036","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"11","9 to 11","global",1
"674",12,12,"12.png","4.png","z","blg036","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"11","9 to 11","global",1
"675",13,13,"7.png","1.png","m","blg036","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","local",0
"676",14,14,"11.png","3.png","m","blg036","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"11","9 to 11","global",1
"677",15,15,"12_R.png","4_R.png","m","blg036","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"11","9 to 11","global",1
"678",16,16,"1.png","1.png","z","blg036","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","local",0
"679",17,17,"9.png","3.png","z","blg036","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"11","9 to 11","global",1
"680",18,18,"2.png","2.png","m","blg036","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","global",1
"681",19,19,"5.png","1.png","m","blg036","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"11","9 to 11","global",1
"682",20,20,"6_R.png","2_R.png","z","blg036","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","global",1
"683",21,21,"1_R.png","1_R.png","z","blg036","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"11","9 to 11","global",1
"684",22,22,"4_R.png","2_R.png","m","blg036","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"11","9 to 11","global",1
"685",23,23,"4.png","2.png","m","blg036","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"11","9 to 11","local",0
"686",24,24,"10_R.png","4_R.png","z","blg036","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"11","9 to 11","global",1
"687",1,1,"8_R.png","2_R.png","z","blg037","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"7","6 to 8","local",0
"688",2,2,"1_R.png","1_R.png","m","blg037","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"7","6 to 8","local",0
"689",3,3,"10_R.png","4_R.png","m","blg037","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"7","6 to 8","local",0
"690",4,4,"9_R.png","3_R.png","z","blg037","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"7","6 to 8","local",0
"691",5,5,"11.png","3.png","z","blg037","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"7","6 to 8","local",0
"692",6,6,"4.png","2.png","m","blg037","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"7","6 to 8","local",0
"693",7,7,"12_R.png","4_R.png","z","blg037","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"7","6 to 8","local",0
