"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"2_R_confound.png","4_R.png","m"
"2",2,"7.png","1.png","m"
"3",3,"3_R_confound.png","3_R.png","m"
"4",4,"3_confound.png","3.png","m"
"5",5,"11.png","3.png","m"
"6",6,"8.png","2.png","m"
"7",7,"9_R.png","3_R.png","z"
"8",8,"1_confound.png","3.png","m"
"9",9,"8_R.png","2_R.png","z"
"10",10,"4.png","2.png","m"
"11",11,"1_R_confound.png","3_R.png","z"
"12",12,"11_R.png","3_R.png","m"
"13",13,"5.png","1.png","z"
"14",14,"4_R.png","2_R.png","m"
"15",15,"10.png","4.png","m"
"16",16,"2_R.png","2_R.png","m"
"17",17,"3.png","1.png","m"
"18",18,"7_R.png","1_R.png","m"
"19",19,"2.png","2.png","m"
"20",20,"6_R.png","2_R.png","m"
"21",21,"3_R.png","1_R.png","m"
"22",22,"4_R_confound.png","4_R.png","z"
"23",23,"2_confound.png","4.png","z"
"24",24,"12_R.png","4_R.png","m"
"25",25,"9.png","3.png","m"
"26",26,"6.png","2.png","z"
"27",27,"1_R.png","1_R.png","m"
"28",28,"10_R.png","4_R.png","m"
"29",29,"4_confound.png","4.png","m"
"30",30,"5_R.png","1_R.png","m"
"31",31,"12.png","4.png","m"
"32",32,"1.png","1.png","z"
