"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"7_R.png","1_R.png","m"
"2",2,"3_R.png","1_R.png","m"
"3",3,"2_R.png","2_R.png","z"
"4",4,"5_R.png","1_R.png","m"
"5",5,"6.png","2.png","m"
"6",6,"10.png","4.png","z"
"7",7,"11.png","3.png","m"
"8",8,"10_R.png","4_R.png","z"
"9",9,"11_R.png","3_R.png","z"
"10",10,"9_R.png","3_R.png","m"
"11",11,"3.png","1.png","m"
"12",12,"12_R.png","4_R.png","m"
"13",13,"2.png","2.png","z"
"14",14,"5.png","1.png","z"
"15",15,"4_R.png","2_R.png","z"
"16",16,"1.png","1.png","z"
"17",17,"8_R.png","2_R.png","z"
"18",18,"12.png","4.png","z"
"19",19,"8.png","2.png","m"
"20",20,"9.png","3.png","z"
"21",21,"4.png","2.png","m"
"22",22,"6_R.png","2_R.png","z"
"23",23,"7.png","1.png","z"
"24",24,"1_R.png","1_R.png","z"
