"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"3.png","1.png","m"
"2",2,"10_R.png","4_R.png","z"
"3",3,"9_R.png","3_R.png","z"
"4",4,"1.png","1.png","z"
"5",5,"12_R.png","4_R.png","z"
"6",6,"10.png","4.png","z"
"7",7,"6_R.png","2_R.png","m"
"8",8,"9.png","3.png","m"
"9",9,"5.png","1.png","z"
"10",10,"4_confound.png","4.png","m"
"11",11,"4.png","2.png","m"
"12",12,"2_R_confound.png","4_R.png","z"
"13",13,"2.png","2.png","z"
"14",14,"12.png","4.png","m"
"15",15,"4_R.png","2_R.png","z"
"16",16,"6.png","2.png","z"
"17",17,"11_R.png","3_R.png","m"
"18",18,"5_R.png","1_R.png","m"
"19",19,"3_confound.png","3.png","z"
"20",20,"4_R_confound.png","4_R.png","z"
"21",21,"3_R_confound.png","3_R.png","m"
"22",22,"7.png","1.png","m"
"23",23,"2_confound.png","4.png","z"
"24",24,"8.png","2.png","z"
"25",25,"3_R.png","1_R.png","z"
"26",26,"1_R_confound.png","3_R.png","m"
"27",27,"11.png","3.png","z"
"28",28,"2_R.png","2_R.png","m"
"29",29,"7_R.png","1_R.png","z"
"30",30,"1_R.png","1_R.png","m"
"31",31,"1_confound.png","3.png","m"
"32",32,"8_R.png","2_R.png","m"
