"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"4_R.png","2_R.png","z"
"2",2,"3_R.png","1_R.png","m"
"3",3,"6_R.png","2_R.png","z"
"4",4,"2_confound.png","4.png","m"
"5",5,"5_R.png","1_R.png","z"
"6",6,"7_R.png","1_R.png","m"
"7",7,"10_R.png","4_R.png","z"
"8",8,"1_confound.png","3.png","m"
"9",9,"12_R.png","4_R.png","m"
"10",10,"9.png","3.png","z"
"11",11,"1_R.png","1_R.png","m"
"12",12,"3.png","1.png","z"
"13",13,"3_confound.png","3.png","m"
"14",14,"4_confound.png","4.png","m"
"15",15,"2.png","2.png","m"
"16",16,"4.png","2.png","z"
"17",17,"10.png","4.png","m"
"18",18,"1.png","1.png","m"
"19",19,"11_R.png","3_R.png","z"
"20",20,"6.png","2.png","m"
"21",21,"12.png","4.png","z"
"22",22,"2_R_confound.png","4_R.png","m"
"23",23,"9_R.png","3_R.png","m"
"24",24,"2_R.png","2_R.png","z"
"25",25,"3_R_confound.png","3_R.png","z"
"26",26,"8_R.png","2_R.png","m"
"27",27,"7.png","1.png","z"
"28",28,"8.png","2.png","z"
"29",29,"4_R_confound.png","4_R.png","m"
"30",30,"11.png","3.png","z"
"31",31,"1_R_confound.png","3_R.png","m"
"32",32,"5.png","1.png","m"
