"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"1_confound.png","3.png","m"
"2",2,"2_R.png","2_R.png","z"
"3",3,"11_R.png","3_R.png","z"
"4",4,"3_R.png","1_R.png","m"
"5",5,"8.png","2.png","z"
"6",6,"4_R_confound.png","4_R.png","m"
"7",7,"3.png","1.png","z"
"8",8,"4_confound.png","4.png","z"
"9",9,"4.png","2.png","z"
"10",10,"1.png","1.png","m"
"11",11,"2_confound.png","4.png","m"
"12",12,"10_R.png","4_R.png","z"
"13",13,"9.png","3.png","z"
"14",14,"7_R.png","1_R.png","m"
"15",15,"6.png","2.png","m"
"16",16,"5_R.png","1_R.png","z"
"17",17,"11.png","3.png","m"
"18",18,"6_R.png","2_R.png","z"
"19",19,"12_R.png","4_R.png","m"
"20",20,"2_R_confound.png","4_R.png","z"
"21",21,"10.png","4.png","m"
"22",22,"5.png","1.png","m"
"23",23,"2.png","2.png","m"
"24",24,"3_confound.png","3.png","m"
"25",25,"8_R.png","2_R.png","m"
"26",26,"3_R_confound.png","3_R.png","z"
"27",27,"1_R.png","1_R.png","z"
"28",28,"12.png","4.png","z"
"29",29,"7.png","1.png","z"
"30",30,"1_R_confound.png","3_R.png","m"
"31",31,"9_R.png","3_R.png","m"
"32",32,"4_R.png","2_R.png","m"
