"","trial_type","stimulus","response","left_image","right_image","correct_response","correct","sound","vowel_type","congruent","voicing","consonant_type"
"1","bouba-kiki","sound/mimi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","z",0,"curved","/i/","incongruent","voiced","sonorant"
"2","bouba-kiki","sound/kiki.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","m",1,"angular","/i/","congruent","unvoiced","stop"
"3","bouba-kiki","sound/DADA.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","m",1,"curved","/a/","congruent","voiced","stop"
"4","bouba-kiki","sound/didi.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","z",1,"curved","/i/","incongruent","voiced","stop"
"5","bouba-kiki","sound/LALA.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",0,"curved","/a/","congruent","voiced","sonorant"
"6","bouba-kiki","sound/zizi.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","z",1,"angular","/i/","congruent","voiced","fricative"
"7","bouba-kiki","sound/fifi.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","z",0,"curved","/i/","incongruent","unvoiced","fricative"
"8","bouba-kiki","sound/SASA.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","m",0,"curved","/a/","congruent","unvoiced","fricative"
"9","bouba-kiki","sound/ZAZA.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","m",1,"angular","/a/","incongruent","voiced","fricative"
"10","bouba-kiki","sound/titi.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","z",0,"angular","/i/","congruent","unvoiced","stop"
"11","bouba-kiki","sound/ZAZA.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",1,"angular","/a/","incongruent","voiced","fricative"
"12","bouba-kiki","sound/MAMA.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","z",0,"curved","/a/","congruent","voiced","sonorant"
"13","bouba-kiki","sound/zizi.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/i/","congruent","voiced","fricative"
"14","bouba-kiki","sound/KAKA.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S.png""]","z",1,"angular","/a/","incongruent","unvoiced","stop"
"15","bouba-kiki","sound/KAKA.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","z",1,"angular","/a/","incongruent","unvoiced","stop"
"16","bouba-kiki","sound/lili.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","z",0,"curved","/i/","incongruent","voiced","sonorant"
"17","bouba-kiki","sound/TATA.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L.png""]","m",1,"angular","/a/","incongruent","unvoiced","stop"
"18","bouba-kiki","sound/MAMA.wav","z","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S.png""]","m",0,"curved","/a/","congruent","voiced","sonorant"
"19","bouba-kiki","sound/zizi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/i/","congruent","voiced","fricative"
"20","bouba-kiki","sound/SASA.wav","z","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","m",0,"curved","/a/","congruent","unvoiced","fricative"
"21","bouba-kiki","sound/fifi.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","m",0,"curved","/i/","incongruent","unvoiced","fricative"
"22","bouba-kiki","sound/TATA.wav","m","[""img/bouba_7_S.png""]","[""img/kiki_7_S_R.png""]","m",1,"angular","/a/","incongruent","unvoiced","stop"
"23","bouba-kiki","sound/zizi.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","m",0,"angular","/i/","congruent","voiced","fricative"
"24","bouba-kiki","sound/MAMA.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L_R.png""]","m",0,"curved","/a/","congruent","voiced","sonorant"
"25","bouba-kiki","sound/titi.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","m",1,"angular","/i/","congruent","unvoiced","stop"
"26","bouba-kiki","sound/DADA.wav","m","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","m",1,"curved","/a/","congruent","voiced","stop"
"27","bouba-kiki","sound/fifi.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L.png""]","m",0,"curved","/i/","incongruent","unvoiced","fricative"
"28","bouba-kiki","sound/LALA.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L_R.png""]","z",0,"curved","/a/","congruent","voiced","sonorant"
"29","bouba-kiki","sound/ZAZA.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",1,"angular","/a/","incongruent","voiced","fricative"
"30","bouba-kiki","sound/mimi.wav","m","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","z",0,"curved","/i/","incongruent","voiced","sonorant"
"31","bouba-kiki","sound/TATA.wav","z","[""img/kiki_7_L.png""]","[""img/bouba_7_L.png""]","z",1,"angular","/a/","incongruent","unvoiced","stop"
"32","bouba-kiki","sound/didi.wav","z","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","z",1,"curved","/i/","incongruent","voiced","stop"
"33","bouba-kiki","sound/LALA.wav","m","[""img/bouba_7_L.png""]","[""img/kiki_7_L_R.png""]","z",0,"curved","/a/","congruent","voiced","sonorant"
"34","bouba-kiki","sound/kiki.wav","z","[""img/kiki_7_L_R.png""]","[""img/bouba_7_L_R.png""]","z",1,"angular","/i/","congruent","unvoiced","stop"
"35","bouba-kiki","sound/LALA.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","z",0,"curved","/a/","congruent","voiced","sonorant"
"36","bouba-kiki","sound/fifi.wav","z","[""img/kiki_7_S.png""]","[""img/bouba_7_S_R.png""]","m",0,"curved","/i/","incongruent","unvoiced","fricative"
"37","bouba-kiki","sound/DADA.wav","z","[""img/bouba_7_L_R.png""]","[""img/kiki_7_L.png""]","z",1,"curved","/a/","congruent","voiced","stop"
"38","bouba-kiki","sound/titi.wav","z","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","z",1,"angular","/i/","congruent","unvoiced","stop"
"39","bouba-kiki","sound/didi.wav","m","[""img/kiki_7_S_R.png""]","[""img/bouba_7_S_R.png""]","m",1,"curved","/i/","incongruent","voiced","stop"
"40","bouba-kiki","sound/ZAZA.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S_R.png""]","m",1,"angular","/a/","incongruent","voiced","fricative"
"41","bouba-kiki","sound/FAFA.wav","m","[""img/bouba_7_S_R.png""]","[""img/kiki_7_S.png""]","z",0,"curved","/a/","congruent","unvoiced","fricative"
