"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"1_R_confound.png","3_R.png","z"
"2",2,"7_R.png","1_R.png","z"
"3",3,"4_R.png","2_R.png","z"
"4",4,"2_R.png","2_R.png","m"
"5",5,"4_R_confound.png","4_R.png","z"
"6",6,"6.png","2.png","z"
"7",7,"4_confound.png","4.png","m"
"8",8,"8_R.png","2_R.png","z"
"9",9,"3_R_confound.png","3_R.png","m"
"10",10,"2_R_confound.png","4_R.png","m"
"11",11,"3.png","1.png","m"
"12",12,"5_R.png","1_R.png","m"
"13",13,"5.png","1.png","z"
"14",14,"8.png","2.png","m"
"15",15,"3_confound.png","3.png","z"
"16",16,"9_R.png","3_R.png","z"
"17",17,"3_R.png","1_R.png","z"
"18",18,"1_confound.png","3.png","m"
"19",19,"11_R.png","3_R.png","m"
"20",20,"6_R.png","2_R.png","z"
"21",21,"2_confound.png","4.png","m"
"22",22,"11.png","3.png","z"
"23",23,"2.png","2.png","z"
"24",24,"4.png","2.png","m"
"25",25,"1.png","1.png","z"
"26",26,"10_R.png","4_R.png","z"
"27",27,"12_R.png","4_R.png","z"
"28",28,"10.png","4.png","z"
"29",29,"9.png","3.png","m"
"30",30,"7.png","1.png","m"
"31",31,"1_R.png","1_R.png","m"
"32",32,"12.png","4.png","m"
