"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"1.png","1.png","z"
"2",2,"4_R.png","2_R.png","z"
"3",3,"1_confound.png","3.png","m"
"4",4,"3_R.png","1_R.png","z"
"5",5,"6.png","2.png","z"
"6",6,"11_R.png","3_R.png","m"
"7",7,"2_confound.png","4.png","z"
"8",8,"3_R_confound.png","3_R.png","m"
"9",9,"10_R.png","4_R.png","m"
"10",10,"8.png","2.png","m"
"11",11,"9.png","3.png","m"
"12",12,"12.png","4.png","m"
"13",13,"4_R_confound.png","4_R.png","z"
"14",14,"10.png","4.png","z"
"15",15,"1_R.png","1_R.png","m"
"16",16,"5_R.png","1_R.png","m"
"17",17,"4.png","2.png","m"
"18",18,"8_R.png","2_R.png","z"
"19",19,"7_R.png","1_R.png","z"
"20",20,"2_R.png","2_R.png","m"
"21",21,"12_R.png","4_R.png","z"
"22",22,"3.png","1.png","m"
"23",23,"2.png","2.png","z"
"24",24,"7.png","1.png","m"
"25",25,"2_R_confound.png","4_R.png","m"
"26",26,"1_R_confound.png","3_R.png","z"
"27",27,"11.png","3.png","m"
"28",28,"5.png","1.png","z"
"29",29,"3_confound.png","3.png","z"
"30",30,"4_confound.png","4.png","m"
"31",31,"9_R.png","3_R.png","z"
"32",32,"6_R.png","2_R.png","m"
