"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"4_confound.png","4.png","m"
"2",2,"9.png","3.png","m"
"3",3,"6.png","2.png","z"
"4",4,"2_R.png","2_R.png","m"
"5",5,"1_confound.png","3.png","m"
"6",6,"1.png","1.png","z"
"7",7,"12_R.png","4_R.png","z"
"8",8,"2_R_confound.png","4_R.png","m"
"9",9,"10.png","4.png","z"
"10",10,"10_R.png","4_R.png","m"
"11",11,"8_R.png","2_R.png","z"
"12",12,"4_R.png","2_R.png","z"
"13",13,"1_R.png","1_R.png","m"
"14",14,"3_R.png","1_R.png","z"
"15",15,"5.png","1.png","m"
"16",16,"8.png","2.png","m"
"17",17,"9_R.png","3_R.png","z"
"18",18,"3_R_confound.png","3_R.png","m"
"19",19,"2.png","2.png","z"
"20",20,"6_R.png","2_R.png","m"
"21",21,"7_R.png","1_R.png","z"
"22",22,"5_R.png","1_R.png","z"
"23",23,"4.png","2.png","m"
"24",24,"7.png","1.png","m"
"25",25,"2_confound.png","4.png","z"
"26",26,"12.png","4.png","m"
"27",27,"11_R.png","3_R.png","m"
"28",28,"1_R_confound.png","3_R.png","z"
"29",29,"3.png","1.png","m"
"30",30,"11.png","3.png","z"
"31",31,"4_R_confound.png","4_R.png","z"
"32",32,"3_confound.png","3.png","z"
