"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"11_R.png","3_R.png","m"
"2",2,"9.png","3.png","z"
"3",3,"8_R.png","2_R.png","z"
"4",4,"12.png","4.png","z"
"5",5,"5.png","1.png","z"
"6",6,"4.png","2.png","z"
"7",7,"12_R.png","4_R.png","m"
"8",8,"5_R.png","1_R.png","m"
"9",9,"1_R.png","1_R.png","z"
"10",10,"7_R.png","1_R.png","m"
"11",11,"7.png","1.png","z"
"12",12,"3_R.png","1_R.png","z"
"13",13,"4_R.png","2_R.png","m"
"14",14,"10_R.png","4_R.png","z"
"15",15,"2.png","2.png","m"
"16",16,"6.png","2.png","z"
"17",17,"11.png","3.png","z"
"18",18,"10.png","4.png","m"
"19",19,"6_R.png","2_R.png","z"
"20",20,"3.png","1.png","z"
"21",21,"8.png","2.png","m"
"22",22,"1.png","1.png","m"
"23",23,"9_R.png","3_R.png","m"
"24",24,"2_R.png","2_R.png","z"
