"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"10.png","4.png","z"
"2",2,"9_R.png","3_R.png","z"
"3",3,"6.png","2.png","z"
"4",4,"10_R.png","4_R.png","m"
"5",5,"4_R.png","2_R.png","z"
"6",6,"2_R.png","2_R.png","m"
"7",7,"8.png","2.png","m"
"8",8,"5.png","1.png","z"
"9",9,"5_R.png","1_R.png","m"
"10",10,"6_R.png","2_R.png","m"
"11",11,"2.png","2.png","z"
"12",12,"1.png","1.png","z"
"13",13,"4.png","2.png","m"
"14",14,"7.png","1.png","m"
"15",15,"8_R.png","2_R.png","z"
"16",16,"7_R.png","1_R.png","z"
"17",17,"12.png","4.png","m"
"18",18,"11.png","3.png","z"
"19",19,"1_R.png","1_R.png","m"
"20",20,"3_R.png","1_R.png","z"
"21",21,"9.png","3.png","m"
"22",22,"12_R.png","4_R.png","z"
"23",23,"3.png","1.png","m"
"24",24,"11_R.png","3_R.png","m"
