"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"5_R.png","1_R.png","null"
"2",2,"12.png","4.png","null"
"3",3,"7.png","1.png","z"
"4",4,"11_R.png","3_R.png","z"
"5",5,"1.png","1.png","m"
"6",6,"4_R.png","2_R.png","m"
"7",7,"2.png","2.png","m"
"8",8,"3_R.png","1_R.png","m"
"9",9,"6_R.png","2_R.png","z"
"10",10,"1_R.png","1_R.png","z"
"11",11,"4.png","2.png","z"
"12",12,"8_R.png","2_R.png","m"
"13",13,"7_R.png","1_R.png","m"
"14",14,"8.png","2.png","z"
"15",15,"10.png","4.png","m"
"16",16,"12_R.png","4_R.png","m"
"17",17,"9_R.png","3_R.png","m"
"18",18,"2_R.png","2_R.png","z"
"19",19,"6.png","2.png","m"
"20",20,"3.png","1.png","z"
"21",21,"11.png","3.png","m"
"22",22,"9.png","3.png","m"
"23",23,"10_R.png","4_R.png","z"
"24",24,"5.png","1.png","m"
