"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"11.png","3.png","z"
"2",2,"7.png","1.png","z"
"3",3,"5.png","1.png","z"
"4",4,"10.png","4.png","m"
"5",5,"7_R.png","1_R.png","m"
"6",6,"2.png","2.png","m"
"7",7,"1_R.png","1_R.png","m"
"8",8,"4_R.png","2_R.png","z"
"9",9,"1.png","1.png","z"
"10",10,"6_R.png","2_R.png","m"
"11",11,"3.png","1.png","m"
"12",12,"5_R.png","1_R.png","z"
"13",13,"6.png","2.png","m"
"14",14,"9.png","3.png","z"
"15",15,"3_R.png","1_R.png","z"
"16",16,"9_R.png","3_R.png","m"
"17",17,"4.png","2.png","z"
"18",18,"2_R.png","2_R.png","m"
"19",19,"11_R.png","3_R.png","m"
"20",20,"12_R.png","4_R.png","m"
"21",21,"10_R.png","4_R.png","m"
"22",22,"12.png","4.png","z"
"23",23,"8_R.png","2_R.png","z"
"24",24,"8.png","2.png","m"
