"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"10_R.png","4_R.png","m"
"2",2,"9_R.png","3_R.png","m"
"3",3,"3.png","1.png","m"
"4",4,"12.png","4.png","m"
"5",5,"2_R.png","2_R.png","z"
"6",6,"7.png","1.png","z"
"7",7,"6.png","2.png","m"
"8",8,"2.png","2.png","z"
"9",9,"4.png","2.png","m"
"10",10,"10.png","4.png","m"
"11",11,"8.png","2.png","m"
"12",12,"8_R.png","2_R.png","z"
"13",13,"12_R.png","4_R.png","m"
"14",14,"11.png","3.png","m"
"15",15,"4_R.png","2_R.png","z"
"16",16,"6_R.png","2_R.png","m"
"17",17,"5.png","1.png","m"
"18",18,"1_R.png","1_R.png","m"
"19",19,"9.png","3.png","z"
"20",20,"11_R.png","3_R.png","z"
"21",21,"1.png","1.png","m"
"22",22,"5_R.png","1_R.png","z"
"23",23,"7_R.png","1_R.png","m"
"24",24,"3_R.png","1_R.png","z"
