"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"3.png","1.png","z"
"2",2,"12.png","4.png","z"
"3",3,"8_R.png","2_R.png","m"
"4",4,"9_R.png","3_R.png","z"
"5",5,"4_R.png","2_R.png","z"
"6",6,"8.png","2.png","z"
"7",7,"1_R.png","1_R.png","z"
"8",8,"6.png","2.png","z"
"9",9,"1.png","1.png","z"
"10",10,"11_R.png","3_R.png","m"
"11",11,"5.png","1.png","z"
"12",12,"10.png","4.png","m"
"13",13,"11.png","3.png","m"
"14",14,"7_R.png","1_R.png","m"
"15",15,"5_R.png","1_R.png","z"
"16",16,"9.png","3.png","m"
"17",17,"3_R.png","1_R.png","m"
"18",18,"10_R.png","4_R.png","z"
"19",19,"2.png","2.png","z"
"20",20,"12_R.png","4_R.png","m"
"21",21,"6_R.png","2_R.png","m"
"22",22,"2_R.png","2_R.png","m"
"23",23,"7.png","1.png","z"
"24",24,"4.png","2.png","z"
