"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"7.png","1.png","m"
"2",2,"9.png","3.png","m"
"3",3,"3_R.png","1_R.png","z"
"4",4,"12.png","4.png","m"
"5",5,"6_R.png","2_R.png","m"
"6",6,"4.png","2.png","m"
"7",7,"11.png","3.png","z"
"8",8,"7_R.png","1_R.png","z"
"9",9,"2_R.png","2_R.png","m"
"10",10,"6.png","2.png","z"
"11",11,"5_R.png","1_R.png","m"
"12",12,"10.png","4.png","z"
"13",13,"1_R.png","1_R.png","m"
"14",14,"3.png","1.png","m"
"15",15,"5.png","1.png","z"
"16",16,"8.png","2.png","m"
"17",17,"9_R.png","3_R.png","z"
"18",18,"12_R.png","4_R.png","z"
"19",19,"11_R.png","3_R.png","z"
"20",20,"8_R.png","2_R.png","z"
"21",21,"10_R.png","4_R.png","m"
"22",22,"4_R.png","2_R.png","z"
"23",23,"2.png","2.png","z"
"24",24,"1.png","1.png","z"
