"","trial_num","image_ID_targets","image_ID_pairs","response_pairs"
"1",1,"9_R.png","3_R.png","m"
"2",2,"6_R.png","2_R.png","m"
"3",3,"3.png","1.png","m"
"4",4,"12.png","4.png","z"
"5",5,"2.png","2.png","z"
"6",6,"2_R.png","2_R.png","z"
"7",7,"1.png","1.png","m"
"8",8,"9.png","3.png","z"
"9",9,"10_R.png","4_R.png","z"
"10",10,"4.png","2.png","z"
"11",11,"6.png","2.png","z"
"12",12,"8.png","2.png","z"
"13",13,"12_R.png","4_R.png","m"
"14",14,"10.png","4.png","m"
"15",15,"1_R.png","1_R.png","m"
"16",16,"8_R.png","2_R.png","z"
"17",17,"5_R.png","1_R.png","z"
"18",18,"7_R.png","1_R.png","z"
"19",19,"11_R.png","3_R.png","m"
"20",20,"11.png","3.png","z"
"21",21,"3_R.png","1_R.png","z"
"22",22,"7.png","1.png","m"
"23",23,"5.png","1.png","m"
"24",24,"4_R.png","2_R.png","m"
